id,country,nso,subject,question,answer,source,answer_date
LAB-001,Canada,Statistics Canada,labour,average salary in canada,,,
LAB-001,Australia,ABS,labour,average salary in australia,,,
LAB-002,Canada,Statistics Canada,labour,average salary in canada by age,,,
LAB-002,Australia,ABS,labour,average salary in australia by age,,,
LAB-003,Canada,Statistics Canada,labour,average salary in canada by province,,,
LAB-003,Australia,ABS,labour,average salary in australia by state,,,
LAB-004,Canada,Statistics Canada,labour,average salary in canada per hour,,,
LAB-004,Australia,ABS,labour,average hourly wage in australia,,,
LAB-005,Canada,Statistics Canada,labour,unemployment rate canada,,,
LAB-005,Australia,ABS,labour,unemployment rate australia,,,
LAB-006,Canada,Statistics Canada,labour,unemployment rate canada by province,,,
LAB-006,Australia,ABS,labour,unemployment rate australia by state,,,
LAB-007,Canada,Statistics Canada,labour,unemployment rate canada by city,,,
LAB-007,Australia,ABS,labour,unemployment rate australia by city,,,
LAB-008,Canada,Statistics Canada,labour,unemployment rate canada vs usa,,,
LAB-008,Australia,ABS,labour,unemployment rate australia vs usa,,,
LAB-009,Canada,Statistics Canada,labour,unemployment rate canada by year,,,
LAB-009,Australia,ABS,labour,unemployment rate australia by year,,,
LAB-010,Canada,Statistics Canada,labour,gender pay gap canada,,,
LAB-010,Australia,ABS,labour,gender pay gap australia,,,
LAB-011,Canada,Statistics Canada,labour,adjusted gender pay gap canada,,,
LAB-011,Australia,ABS,labour,adjusted gender pay gap australia,,,
LAB-012,Canada,Statistics Canada,labour,how many canadians work for the federal government,,,
LAB-012,Australia,ABS,labour,how many australians work for the federal government,,,
LAB-013,Canada,Statistics Canada,labour,how many canadians work full time,,,
LAB-013,Australia,ABS,labour,how many australians work full time,,,
LAB-014,Canada,Statistics Canada,labour,how many canadians work in the public sector,,,
LAB-014,Australia,ABS,labour,how many australians work in the public sector,,,
LAB-015,Canada,Statistics Canada,labour,minimum wage in canada by province,,,
LAB-015,Australia,ABS,labour,minimum wage in australia by state,,,
LAB-016,Canada,Statistics Canada,labour,minimum wage in canada in 1970,,,
LAB-016,Australia,ABS,labour,minimum wage in australia in 1970,,,
LAB-017,Canada,Statistics Canada,labour,youth unemployment rate canada,,,
LAB-017,Australia,ABS,labour,youth unemployment rate australia,,,
LAB-018,Canada,Statistics Canada,labour,how many job vacancies are there in canada right now,,,
LAB-018,Australia,ABS,labour,how many job vacancies are there in australia right now,,,
LAB-019,Canada,Statistics Canada,labour,what percentage of canadian workers are unionized,,,
LAB-019,Australia,ABS,labour,what percentage of australian workers are in a union,,,
LAB-020,Canada,Statistics Canada,labour,how many canadians do gig work,,,
LAB-020,Australia,ABS,labour,how many australians do gig work,,,
LAB-021,Canada,Statistics Canada,labour,what percentage of canadians work from home,,,
LAB-021,Australia,ABS,labour,what percentage of australians work from home,,,
LAB-022,Canada,Statistics Canada,labour,average retirement age in canada,,,
LAB-022,Australia,ABS,labour,average retirement age in australia,,,
LAB-023,Canada,Statistics Canada,labour,employment rate of recent immigrants in canada,,,
LAB-023,Australia,ABS,labour,employment rate of recent migrants in australia,,,
LAB-024,Canada,Statistics Canada,labour,unemployment rate for recent immigrants in toronto,,,
LAB-024,Australia,ABS,labour,unemployment rate for recent migrants in sydney,,,
LAB-025,Canada,Statistics Canada,labour,average hours worked per week canada,,,
LAB-025,Australia,ABS,labour,average hours worked per week australia,,,
LAB-026,Canada,Statistics Canada,labour,self-employment rate canada,,,
LAB-026,Australia,ABS,labour,self-employment rate australia,,,
LAB-027,Canada,Statistics Canada,labour,how many young people in canada are not in school or working,,,
LAB-027,Australia,ABS,labour,how many young people in australia are not in employment or education,,,
LAB-028,Canada,Statistics Canada,labour,indigenous employment rate canada,,,
LAB-028,Australia,ABS,labour,indigenous employment rate australia,,,
LAB-029,Canada,Statistics Canada,labour,employment rate of people with disabilities in canada,,,
LAB-029,Australia,ABS,labour,employment rate of people with disability in australia,,,
LAB-030,Canada,Statistics Canada,labour,average salary software engineer canada,,,
LAB-030,Australia,ABS,labour,average salary software engineer australia,,,
LAB-031,Canada,Statistics Canada,labour,how many nurses are there in canada,,,
LAB-031,Australia,ABS,labour,how many nurses are there in australia,,,
LAB-032,Canada,Statistics Canada,labour,labour force participation of mothers with young children canada,,,
LAB-032,Australia,ABS,labour,labour force participation of mothers with young children australia,,,
LAB-033,Canada,Statistics Canada,labour,do immigrants earn less than canadian-born workers with the same education,,,
LAB-033,Australia,ABS,labour,do migrants earn less than australian-born workers with the same education,,,
LAB-034,Canada,Statistics Canada,labour,is youth unemployment worse now than in the 1990s,,,
LAB-034,Australia,ABS,labour,is youth unemployment worse now than in the 1990s,,,
DIG-001,Canada,Statistics Canada,digital_economy_and_society,percentage of internet users in canada,,,
DIG-001,Australia,ABS,digital_economy_and_society,percentage of internet users in australia,,,
DIG-002,Canada,Statistics Canada,digital_economy_and_society,average screen time canada,,,
DIG-002,Australia,ABS,digital_economy_and_society,average screen time australia,,,
DIG-003,Canada,Statistics Canada,digital_economy_and_society,screen time kids canada,,,
DIG-003,Australia,ABS,digital_economy_and_society,screen time kids australia,,,
DIG-004,Canada,Statistics Canada,digital_economy_and_society,online shopping canada statistics,,,
DIG-004,Australia,ABS,digital_economy_and_society,online shopping australia statistics,,,
DIG-005,Canada,Statistics Canada,digital_economy_and_society,online grocery shopping statistics canada,,,
DIG-005,Australia,ABS,digital_economy_and_society,online grocery shopping statistics australia,,,
DIG-006,Canada,Statistics Canada,digital_economy_and_society,cyberbullying canada statistics,,,
DIG-006,Australia,ABS,digital_economy_and_society,cyberbullying australia statistics,,,
DIG-007,Canada,Statistics Canada,digital_economy_and_society,cyberbullying statistics canada 2025,,,
DIG-007,Australia,ABS,digital_economy_and_society,cyberbullying statistics australia 2025,,,
DIG-008,Canada,Statistics Canada,digital_economy_and_society,how many canadians have a smartphone,,,
DIG-008,Australia,ABS,digital_economy_and_society,how many australians have a smartphone,,,
DIG-009,Canada,Statistics Canada,digital_economy_and_society,social media use in canada by age,,,
DIG-009,Australia,ABS,digital_economy_and_society,social media use in australia by age,,,
DIG-010,Canada,Statistics Canada,digital_economy_and_society,internet use among seniors in canada,,,
DIG-010,Australia,ABS,digital_economy_and_society,internet use among seniors in australia,,,
DIG-011,Canada,Statistics Canada,digital_economy_and_society,rural internet access canada,,,
DIG-011,Australia,ABS,digital_economy_and_society,rural internet access australia,,,
DIG-012,Canada,Statistics Canada,digital_economy_and_society,e-commerce sales canada,,,
DIG-012,Australia,ABS,digital_economy_and_society,e-commerce sales australia,,,
DIG-013,Canada,Statistics Canada,digital_economy_and_society,how many canadians use ai chatbots,,,
DIG-013,Australia,ABS,digital_economy_and_society,how many australians use ai chatbots,,,
DIG-014,Canada,Statistics Canada,digital_economy_and_society,how many businesses in canada use artificial intelligence,,,
DIG-014,Australia,ABS,digital_economy_and_society,how many businesses in australia use artificial intelligence,,,
DIG-015,Canada,Statistics Canada,digital_economy_and_society,how much money do canadians lose to online scams,,,
DIG-015,Australia,ABS,digital_economy_and_society,how much money do australians lose to online scams,,,
DIG-016,Canada,Statistics Canada,digital_economy_and_society,what percentage of canadians subscribe to streaming services,,,
DIG-016,Australia,ABS,digital_economy_and_society,what percentage of australians subscribe to streaming services,,,
DIG-017,Canada,Statistics Canada,digital_economy_and_society,where do canadians get their news,,,
DIG-017,Australia,ABS,digital_economy_and_society,where do australians get their news,,,
DIG-018,Canada,Statistics Canada,digital_economy_and_society,how many canadians play video games,,,
DIG-018,Australia,ABS,digital_economy_and_society,how many australians play video games,,,
DIG-019,Canada,Statistics Canada,digital_economy_and_society,digital divide in canada by income,,,
DIG-019,Australia,ABS,digital_economy_and_society,digital divide in australia by income,,,
DIG-020,Canada,Statistics Canada,digital_economy_and_society,how many canadians have been exposed to misinformation online,,,
DIG-020,Australia,ABS,digital_economy_and_society,how many australians have been exposed to misinformation online,,,
DIG-021,Canada,Statistics Canada,digital_economy_and_society,canadians concerned about online privacy statistics,,,
DIG-021,Australia,ABS,digital_economy_and_society,australians concerned about online privacy statistics,,,
DIG-022,Canada,Statistics Canada,digital_economy_and_society,how many canadian households have no internet at home,,,
DIG-022,Australia,ABS,digital_economy_and_society,how many australian households have no internet at home,,,
DIG-023,Canada,Statistics Canada,digital_economy_and_society,teens social media use canada,,,
DIG-023,Australia,ABS,digital_economy_and_society,teens social media use australia,,,
DIG-024,Canada,Statistics Canada,digital_economy_and_society,online dating statistics canada,,,
DIG-024,Australia,ABS,digital_economy_and_society,online dating statistics australia,,,
DIG-025,Canada,Statistics Canada,digital_economy_and_society,cryptocurrency ownership canada,,,
DIG-025,Australia,ABS,digital_economy_and_society,cryptocurrency ownership australia,,,
DIG-026,Canada,Statistics Canada,digital_economy_and_society,how many canadians earn money through online platforms,,,
DIG-026,Australia,ABS,digital_economy_and_society,how many australians earn money through online platforms,,,
DIG-027,Canada,Statistics Canada,digital_economy_and_society,average internet speed canada,,,
DIG-027,Australia,ABS,digital_economy_and_society,average internet speed australia,,,
DIG-028,Canada,Statistics Canada,digital_economy_and_society,e-commerce share of retail sales canada,,,
DIG-028,Australia,ABS,digital_economy_and_society,e-commerce share of retail sales australia,,,
DIG-029,Canada,Statistics Canada,digital_economy_and_society,online harassment of women in canada,,,
DIG-029,Australia,ABS,digital_economy_and_society,online harassment of women in australia,,,
DIG-030,Canada,Statistics Canada,digital_economy_and_society,is screen time linked to worse mental health in canadian teens,,,
DIG-030,Australia,ABS,digital_economy_and_society,is screen time linked to worse mental health in australian teens,,,
DIG-031,Canada,Statistics Canada,digital_economy_and_society,do low-income canadian kids have less access to computers for school,,,
DIG-031,Australia,ABS,digital_economy_and_society,do low-income australian kids have less access to computers for school,,,
DIG-032,Canada,Statistics Canada,digital_economy_and_society,internet use canada urban vs rural,,,
DIG-032,Australia,ABS,digital_economy_and_society,internet use australia urban vs rural,,,
DIG-033,Canada,Statistics Canada,digital_economy_and_society,how has online shopping changed since the pandemic in canada,,,
DIG-033,Australia,ABS,digital_economy_and_society,how has online shopping changed since the pandemic in australia,,,
SOC-001,Canada,Statistics Canada,society_and_community,volunteering in canada statistics,,,
SOC-001,Australia,ABS,society_and_community,volunteering in australia statistics,,,
