id,subject,question,answer,source,answer_date
LAB-001,labour,average salary in australia,,,
LAB-002,labour,average salary in australia by age,,,
LAB-003,labour,average salary in australia by state,,,
LAB-004,labour,average hourly wage in australia,,,
LAB-005,labour,unemployment rate australia,,,
LAB-006,labour,unemployment rate australia by state,,,
LAB-007,labour,unemployment rate australia by city,,,
LAB-008,labour,unemployment rate australia vs usa,,,
LAB-009,labour,unemployment rate australia by year,,,
LAB-010,labour,gender pay gap australia,,,
LAB-011,labour,adjusted gender pay gap australia,,,
LAB-012,labour,how many australians work for the federal government,,,
LAB-013,labour,how many australians work full time,,,
LAB-014,labour,how many australians work in the public sector,,,
LAB-015,labour,minimum wage in australia by state,,,
LAB-016,labour,minimum wage in australia in 1970,,,
LAB-017,labour,youth unemployment rate australia,,,
LAB-018,labour,how many job vacancies are there in australia right now,,,
LAB-019,labour,what percentage of australian workers are in a union,,,
LAB-020,labour,how many australians do gig work,,,
LAB-021,labour,what percentage of australians work from home,,,
LAB-022,labour,average retirement age in australia,,,
LAB-023,labour,employment rate of recent migrants in australia,,,
LAB-024,labour,unemployment rate for recent migrants in sydney,,,
LAB-025,labour,average hours worked per week australia,,,
LAB-026,labour,self-employment rate australia,,,
LAB-027,labour,how many young people in australia are not in employment or education,,,
LAB-028,labour,indigenous employment rate australia,,,
LAB-029,labour,employment rate of people with disability in australia,,,
LAB-030,labour,average salary software engineer australia,,,
LAB-031,labour,how many nurses are there in australia,,,
LAB-032,labour,labour force participation of mothers with young children australia,,,
LAB-033,labour,do migrants earn less than australian-born workers with the same education,,,
LAB-034,labour,is youth unemployment worse now than in the 1990s,,,
DIG-001,digital_economy_and_society,percentage of internet users in australia,,,
DIG-002,digital_economy_and_society,average screen time australia,,,
DIG-003,digital_economy_and_society,screen time kids australia,,,
DIG-004,digital_economy_and_society,online shopping australia statistics,,,
DIG-005,digital_economy_and_society,online grocery shopping statistics australia,,,
DIG-006,digital_economy_and_society,cyberbullying australia statistics,,,
DIG-007,digital_economy_and_society,cyberbullying statistics australia 2025,,,
DIG-008,digital_economy_and_society,how many australians have a smartphone,,,
DIG-009,digital_economy_and_society,social media use in australia by age,,,
DIG-010,digital_economy_and_society,internet use among seniors in australia,,,
DIG-011,digital_economy_and_society,rural internet access australia,,,
DIG-012,digital_economy_and_society,e-commerce sales australia,,,
DIG-013,digital_economy_and_society,how many australians use ai chatbots,,,
DIG-014,digital_economy_and_society,how many businesses in australia use artificial intelligence,,,
DIG-015,digital_economy_and_society,how much money do australians lose to online scams,,,
DIG-016,digital_economy_and_society,what percentage of australians subscribe to streaming services,,,
DIG-017,digital_economy_and_society,where do australians get their news,,,
DIG-018,digital_economy_and_society,how many australians play video games,,,
DIG-019,digital_economy_and_society,digital divide in australia by income,,,
DIG-020,digital_economy_and_society,how many australians have been exposed to misinformation online,,,
DIG-021,digital_economy_and_society,australians concerned about online privacy statistics,,,
DIG-022,digital_economy_and_society,how many australian households have no internet at home,,,
DIG-023,digital_economy_and_society,teens social media use australia,,,
DIG-024,digital_economy_and_society,online dating statistics australia,,,
DIG-025,digital_economy_and_society,cryptocurrency ownership australia,,,
DIG-026,digital_economy_and_society,how many australians earn money through online platforms,,,
DIG-027,digital_economy_and_society,average internet speed australia,,,
DIG-028,digital_economy_and_society,e-commerce share of retail sales australia,,,
DIG-029,digital_economy_and_society,online harassment of women in australia,,,
DIG-030,digital_economy_and_society,is screen time linked to worse mental health in australian teens,,,
DIG-031,digital_economy_and_society,do low-income australian kids have less access to computers for school,,,
DIG-032,digital_economy_and_society,internet use australia urban vs rural,,,
DIG-033,digital_economy_and_society,how has online shopping changed since the pandemic in australia,,,
