run_date,engine,model,id,subject,query_asked,answerable,citation_class,cited_source,statcan_data_vintage,best_available_vintage,answer_note
2026-07-18,duck.ai,5.4-nano,LAB-005,labour,"What is the unemployment rate in Canada? What's the source?",fully,direct,"StatCan The Daily LFS June 2026",2026-06,2026-06,"Correct and current (6.5%); auto-invoked web search; weighed tradingeconomics/ycharts but cited StatCan"
2026-07-18,duck.ai,5.4-nano,LAB-010,labour,"What is the gender pay gap in Canada? What's the source?",fully,direct,"StatCan article 'The gender wage gap persists' (Mar 2026)",2025,2025,"Correct and current ($0.88/$1, 2025)"
2026-07-18,duck.ai,5.4-nano,LAB-020,labour,"How many Canadians do gig work? What's the source?",microdata_only,direct,"StatCan Daily 'Defining and measuring the gig economy' (2024)",2022-Q4,2022-Q4,"Correct measured figures (871k main-job; 1.5M any-gig) with definitional caveats; resisted madeinca.ca SEO number in its own search results"
2026-07-18,duck.ai,5.4-nano,LAB-024,labour,"What is the unemployment rate for recent immigrants in Toronto? What's the source?",partially,indirect,"TRIEC factsheet citing StatCan LFS 2006-2011",2006-2011,2021 (census),"15-year-old figure (10.92%) served with 2-decimal precision; no current CMA-by-immigrant table exists to cite"
2026-07-18,duck.ai,5.4-nano,DIG-002,digital_economy_and_society,"What is the average screen time in Canada? What's the source?",partially,direct,"StatCan CHMS release (2022-2024)",2022-2024,2022-2024,"Explicitly stated no single average-screen-time number exists; gave CHMS guideline-adherence stats; refused commercial numbers"
2026-07-18,duck.ai,5.4-nano,DIG-009,digital_economy_and_society,"How much do Canadians use social media, broken down by age? What's the source?",microdata_only,direct,"StatCan article 'Scrolling through the social media stats' (Jun 2024)",2018,2018,"Direct cite but 8-year-old data — the article is the only StatCan artifact; first search reached for Pew (US) before finding it"
2026-07-18,duck.ai,5.4-nano,DIG-012,digital_economy_and_society,"How big are e-commerce sales in Canada? What's the source?",partially,direct,"StatCan Daily 'Annual retail trade 2024' + 'Retail trade December 2024'",2024,2024,"Correct coherent figures ($73.7B 2024; $4.3B/6.1% Dec 2024) — Daily releases carry the numbers despite table discontinuation"
2026-07-18,duck.ai,5.4-nano,SOC-005,society_and_community,"How lonely are Canadians? What do the statistics say, and what's the source?",fully,direct,"StatCan Daily CSS Loneliness (Nov 2021) + Angus Reid",2021,2024,"Direct cite with careful StatCan-vs-pollster distinction, but 2021 article used while table 45100048 (updated Feb 2025) never surfaced"
2026-07-18,duck.ai,5.4-nano,SOC-010,society_and_community,"Do Canadians trust the government? What do the numbers say, and what's the source?",fully,none,"OECD Trust Survey country note (2023)",n/a,2024,"StatCan absent despite current Confidence in Institutions table (45100073); www150 appeared in search candidates but OECD note won"
2026-07-18,duck.ai,5.4-nano,SOC-022,society_and_community,"How many close friends does the average Canadian have? What's the source?",partially,direct,"StatCan 'Canadians' connections with family and friends' (2013 GSS)",2013,2013,"Direct cite, properly date-qualified (unlike Bing) — but 13-year-old data is all that exists"
