run_date,engine,id,subject,arm,query_asked,answerable,citation_class,cited_sources,answer_value,statcan_value,statcan_vintage_cited,best_available_vintage,value_match,screenshot,note
2026-07-19,bing_copilot,SOC-004,society_and_community,treatment,are charitable donations declining in canada,fully,indirect,"canadiandebtrelief.ca; Fraser Institute PDF (via carleton.ca); ctvnews.ca; canadahelps.org","17.1% of tax filers claimed donations (down from 17.7%); 0.52% of income (2023)","median donation $390; donor count declining (11100130, 2023)",2023,2023,different_metric,bing_copilot_SOC-004_2026-07-19.png,"Fraser figures are computed from CRA tax-filer data — same lineage as table 11-10-0130 — but StatCan absent from sources; decline direction consistent with official data"
2026-07-19,bing_copilot,LAB-002,labour,treatment,average salary in canada by age,fully,none,"wealthnorth.ca; wealthvieu.com; protectyourwealth.ca; ca.indeed.com","avg $67000/yr; median $57000; Alberta $72000 (wealthnorth, no vintage/method)","avg hourly $36.40; by-age table in 14100064 (2025)",,2025,unverifiable,bing_copilot_LAB-002_2026-07-19.png,"SEO number roughly consistent with SEPH weekly earnings annualized but no method or vintage stated; zero StatCan presence on a query with a current LFS wage table"
2026-07-19,bing_copilot,LAB-003,labour,treatment,average salary in canada by province,fully,direct,"www150 Daily chart cg-a002 (table 36-10-0654, 2023); narcity.com; wealthnorth.ca; jobqoo.com; canadianow.com","average annual salaries by province, 2023 (chart)","avg hourly $36.40 national; province rows in 14100064 (2025)",2023,2025,match_stale,bing_copilot_LAB-003_2026-07-19.png,"StatCan surfaces via a 2025 Daily chart page carrying 2023 data while the 2025 LFS wage table exists; SEO sites carry uncited 2026 claims"
2026-07-19,bing_copilot,SOC-001,society_and_community,treatment,volunteering in canada statistics,fully,indirect,"madeinca.ca; statcan.gc.ca SGVP survey-info page (no data); volunteer.ca; imaginecanada.ca",no headline number in answer cards,"formal volunteer rate 32.4% (45100039, 2023)",,2023,no_number,bing_copilot_SOC-001_2026-07-19.png,"madeinca.ca leads; StatCan's only presence is a survey-participation page with no statistics on it"
2026-07-19,bing_copilot,SOC-002,society_and_community,treatment,what percentage of canadians volunteer,fully,indirect,"madeinca.ca (73% overall 2023); imaginecanada.ca (41% 2018 -> 32% 2023, attributed to StatCan SGVP); statcan.gc.ca SGVP survey-info page","73% overall (madeinca); 32% formal (imaginecanada)","formal 32.4%; overall def also published (45100039, 2023)",2023,2023,match_current,bing_copilot_SOC-002_2026-07-19.png,"correct StatCan numbers arrive via intermediaries; imaginecanada names StatCan as source; StatCan's own data products absent"
2026-07-19,bing_copilot,SOC-024,society_and_community,treatment,who does more housework men or women canada,fully,direct,"www150 Daily 2020-02-19 (2017 GSS: women 61% laundry / 56% meal prep); www150 analytical paper 11f0019m (2021); ualberta.ca; edmonton.citynews.ca; cbc.ca","women do majority of laundry (61%) and meal prep (56%) — 2017 GSS","women 2.4 h/day unpaid household work vs men lower (45100104, 2022)",2017,2022,match_stale,bing_copilot_SOC-024_2026-07-19.png,"article layer only: 2020 Daily + 2021 paper; the current TUS 2022 table (45-10-0104) never surfaces"
2026-07-19,bing_copilot,DIG-014,digital_economy_and_society,treatment,how many businesses in canada use artificial intelligence,fully,direct,"www150 11-621-m Q2-2026 analysis (42.3% info/cultural; 40.4% finance; 32.4% prof services); publications.gc.ca mirror of Q2-2025 edition (12.2%); chatgpt.ca; madeinca.ca","12.2% used AI (Q2 2025) and Q2-2026 industry rates side by side","14.5% plan to use AI, Q3-2025 CSBC (33101045); Q2-2026 analysis is current article",2025 and 2026 mixed,2026,match_current,bing_copilot_DIG-014_2026-07-19.png,"current StatCan article present but stale government mirror (publications.gc.ca) and SEO re-publishers (chatgpt.ca) serve competing vintages of the same indicator in one answer"
2026-07-19,bing_copilot,LAB-014,labour,control,how many canadians work in the public sector,fully,indirect,"canadavisuals.ca (4.55M / 21.6% — headline); www150 table 14-10-0288-02 page (values invisible to crawler); thehub.ca; canada.ca","4.55 million public sector workers (21.6% of employed)","4,564.9 thousand SA (14100288, June 2026)",2026,2026,match_current,bing_copilot_LAB-014_2026-07-19.png,"KEY CASE: StatCan's own table ranks in sources but the number is credited to canadavisuals.ca — StatCan-lineage value, citation lost to an SEO intermediary"
2026-07-19,bing_copilot,SOC-010,society_and_community,control,do canadians trust the government,fully,none,"uwaterloo.ca; publicsectornetwork.com; policyoptions.irpp.org; frontiercentre.org; canada.ca",no single number in answer cards,"28.3% high confidence in Federal Parliament (45100073, Oct 2024)",,2024,no_number,bing_copilot_SOC-010_2026-07-19.png,"StatCan absent at every layer again (matches DDG, Bing answer box, and Duck.ai rounds); think tanks and universities own the result set"
2026-07-19,bing_copilot,SOC-016,society_and_community,control,how religious is canada,fully,indirect,"madeinca.ca; worldculturepost.com; theworlddata.com (claims 'compiled from Statistics Canada'); remitly.com; en.wikipedia.org",census-derived shares recycled by SEO sites (no numbers in cards),"Christian 53.3%; no religion 34.6%; Muslim 4.9% (98100353, census 2021)",2021,2021,no_number,bing_copilot_SOC-016_2026-07-19.png,"all intermediaries; theworlddata.com explicitly claims StatCan lineage; statcan.gc.ca itself absent despite census table 98-10-0353"
